id,neighbourhood_group_name,neighbourhood_Name
2750006,Auckland,Albany Ward
2757939,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2758825,Auckland,Waitematā and Gulf Ward
2764702,Tasman District,Richmond Ward
2773357,Tasman District,Golden Bay Ward
2778509,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2786107,Wellington City,Pukehīnau/Lambton Ward
2794022,Auckland,Ōrākei Ward
2794396,Taupo District,Mangakino-Pouakani Ward
2811204,Wellington City,Pukehīnau/Lambton Ward
2818482,Christchurch City,Innes Ward
2847063,Ōpōtiki District,Waioeka-Waiotahi Ward
2847079,Auckland,Rodney Ward
2874336,Kapiti Coast District,Paraparaumu Ward
2876907,Christchurch City,Riccarton Ward
2882345,Tasman District,Lakes-Murchison Ward
2889779,Marlborough District,Blenheim Ward
2891322,Nelson City,Area Outside Ward
2899365,Dunedin City,Area Outside Ward
2899477,Dunedin City,Area Outside Ward
2919187,Auckland,Albert-Eden-Puketāpapa Ward
2927172,Dunedin City,Area Outside Ward
2927507,Auckland,Waitākere Ward
2950971,Mackenzie District,Pukaki Ward
2959618,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2961213,Kaipara District,West Coast-Central Ward
2968977,Auckland,Rodney Ward
2970101,Waitomo District,Waitomo Rural Ward
3006173,Wellington City,Pukehīnau/Lambton Ward
3008008,Queenstown-Lakes District,Queenstown-Wakatipu Ward
3012664,Kaipara District,West Coast-Central Ward
3014315,Wellington City,Pukehīnau/Lambton Ward
3031054,Wellington City,Wharangi/Onslow-Western Ward
3032736,Auckland,Ōrākei Ward
3042611,Auckland,North Shore Ward
3068317,Tasman District,Moutere-Waimea Ward
3085591,Hastings District,Heretaunga Ward
3087428,Auckland,Whau Ward
3109594,Wairoa District,Wairoa General Ward
3115193,Christchurch City,Banks Peninsula Ward
3125885,Far North District,Bay of Islands-Whangaroa Ward
3133120,Queenstown-Lakes District,Wanaka Ward
3141911,Christchurch City,Waimairi Ward
3157409,Taupo District,Taupō Ward
3177320,Buller District,Westport Ward
3186447,Western Bay of Plenty District,Kaimai Ward
3186587,Gisborne District,Waipaoa Ward
3258178,Far North District,Bay of Islands-Whangaroa Ward
3264811,Taupo District,Taupō Ward
3272543,Auckland,Rodney Ward
3274429,Thames-Coromandel District,Mercury Bay Ward
3283872,Buller District,Westport Ward
3294266,Buller District,Westport Ward
3325545,Hastings District,Kahuranaki Ward
3345258,Whakatane District,Whakatāne-Ōhope Ward 
3353586,Taupo District,Taupō Ward
3363429,Christchurch City,Riccarton Ward
3386262,Rotorua District,Area Outside Ward
